Artista;Año;Album;Numero de era;Cambio visual;Cambio musical;Cambio lírico;Promedio de transformación
Olivia Rodrigo;2021;Sour;1;1;1;1;1.0
Olivia Rodrigo;2023;Guts;2;2;2;2;2.0
Doja Cat;2021;Planet Her;1;1;1;1;1.0
Doja Cat;2023;Scarlet;2;2;2;2;2.0
Billie Eilish;2021;Happier Than Ever;1;1;1;1;1.0
Billie Eilish;2024;Hit Me Hard and Soft;2;2;2;2;2.0
Dua Lipa;2020;Future Nostalgia;1;1;1;1;1.0
Dua Lipa;2024;Radical Optimismo;2;2;2;1;1.67
Sabrina Carpenter;2022;Emails i Cant Send;1;1;1;1;1.0
Sabrina Carpenter;2024;Short n Sweet;2;2;2;2;2.0
