Artistas femeninas;Posición en ranking Billboard;Ojos;altura;contextura corporal;simetría facial;labios;perfil facial;cabello;color de piel;estética musical dinámica/marcada;presencia escénica (shows con narrativa, baile, etc.);edad de peak en éxito;cantidad de Interacción con el público;tipo de interacción con el público;Vestuario apariciones públicas;Estilo interpretativo
Beyonce;1;medianos;media alta;mesomorfo-ectomofro;si;prominentes;marcado;largo;medio;marcada;si;>21;media;Energética y performativa;temáticos/por era musical;energética
Taylor swift;2;grandes;alta;ectomorfo;si;medios;no marcado;largo;claro;dinamica;si;>21;alta;íntima y personalizada;temáticos/por era musical;emocional/intima
Rihanna;3;grandes;alta;mesomorfo;si;prominentes;marcado;largo;oscuro;dinamica;si;>21;baja;provocadora y confrontacional;Vanguardistas;energética
Lady Gaga;5;grandes;baja;mesomorfo-ectomorfo;no ;medios;marcado;corto;claro;dinamica;si;<21;media;Energética y performativa;temáticos/por era musical y vanguardistas;teatral/performática
Britney Spears;6;medianos;media baja;mesomorfo;parcial;delgados;no marcado;largo;claro;marcada;si;>21;baja;provocadora y confrontacional;Básicos y consistentes;emocional/intima
Ariana Grande;9;grandes;baja;ectomorfo;si;medios;no marcado;largo;medio;marcada;si;<21;baja;íntima y personalizada;Básicos y consistentes;emocional/intima
Adele;10;medianos;alta;endomorfo;no;prominentes;no marcado;medio;claro;marcada;si;>21;baja;íntima y personalizada;Básicos y consistentes;emocional/intima
Nicki Minaj;13;medianos;baja;endomorfo-mesomorfo;no ;prominentes ;marcado;largo;medio ;dinamica;si;<21;media;provocadora y confrontacional;temáticos/por era musical y vanguardistas;energética
Miley cyrus;15;grandes;media alta;mesomorfo-ectomorfo;parcial;medios;marcado;medio;claro;dinamica;si;>21;alta;íntima y personalizada;Vanguardistas;teatral/performática y energética 
Shakira;17;pequeños;baja;mesomorfo;no ;medios ;no marcado;largo;medio ;marcada;si;<21;alta;Energética y performativa;Básicos y consistentes;energética
Katy Perry;25;grandes;alta;mesomorfo ;si;medios ;marcado;medio;claro;dinamica;si;<21;alta;Energética y performativa;temáticos/por era musical;teatral/performatica
